compound_name,inchikey,molecule_chembl_id,activity_id,assay_chembl_id,assay_type,assay_description,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922202,CHEMBL5528792,F,Antiproliferative activity against human 22Rv1 cells assessed as inhibition of cell viability incubated for 3 to 4 days by CCK8 assay,CHEMBL612657,CWR22R,Activity,,,,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922204,CHEMBL5528793,B,Inhibition of SRC kinase in human MDA-MB-231 cells assessed as reduction in Src phosphorylation at Tyr416 residue at 0.1 uM measured after 4 hrs by western blot analysis,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Inhibition,,,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922206,CHEMBL5528794,B,Inhibition of SRC kinase in human MDA-MB-231 cells assessed as reduction in FAK phosphorylation at Tyr925 residue at 0.1 uM measured after 4 hrs by western blot analysis,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Inhibition,,,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922212,CHEMBL5528799,F,Induction of cell cycle arrest in human MDA-MB-231 cells assessed as proportion of cells at G1 phase at 0.1 uM incubated for 24 hrs by propidium iodide staining based flow cytometry (Rvb = 59.5%),CHEMBL400,MDA-MB-231,Activity,=,74.5,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922215,CHEMBL5528800,F,Induction of cell cycle arrest in human MDA-MB-231 cells assessed as proportion of cells at S phase at 0.1 uM incubated for 24 hrs by propidium iodide staining based flow cytometry (Rvb = 28.2%),CHEMBL400,MDA-MB-231,Activity,=,15.8,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922218,CHEMBL5528801,F,Induction of cell cycle arrest in human MDA-MB-231 cells assessed as proportion of cells at G2 phase at 0.1 uM incubated for 24 hrs by propidium iodide staining based flow cytometry (Rvb = 11.6%),CHEMBL400,MDA-MB-231,Activity,=,7.75,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922224,CHEMBL5528805,F,Induction of cell cycle arrest in human MDA-MB-231 cells assessed as downregulation of cyclin B1 expression at 0.1 uM incubated for 24 hrs by western blot analysis,CHEMBL400,MDA-MB-231,Activity,,,,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922227,CHEMBL5528807,F,Induction of cell cycle arrest in human MDA-MB-231 cells assessed as increase in p21 expression at 0.1 uM incubated for 24 hrs by western blot analysis,CHEMBL400,MDA-MB-231,Activity,,,,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922229,CHEMBL5528809,F,Induction of cell cycle arrest in human MDA-MB-231 cells assessed as decrease in cyclin D1 expression at 0.1 uM incubated for 24 hrs by western blot analysis,CHEMBL400,MDA-MB-231,Activity,,,,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922233,CHEMBL5528812,F,Induction of apoptosis in human MDA-MB-231 cells assessed as proportion of viable cells at 0.5 uM incubated for 36 hrs by AnnexinV-FITC/PI staining based flow cytometry (Rvb = 93.6%),CHEMBL400,MDA-MB-231,Activity,=,80.9,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922236,CHEMBL5528813,F,Induction of apoptosis in human MDA-MB-231 cells assessed as proportion of early apoptotic cells at 0.5 uM incubated for 36 hrs by AnnexinV-FITC/PI staining based flow cytometry (Rvb = 5.05%),CHEMBL400,MDA-MB-231,Activity,=,14.6,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922239,CHEMBL5528814,F,Induction of apoptosis in human MDA-MB-231 cells assessed as proportion of late apoptotic cells at 0.5 uM incubated for 36 hrs by AnnexinV-FITC/PI staining based flow cytometry (Rvb = 1.33%),CHEMBL400,MDA-MB-231,Activity,=,4.45,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922242,CHEMBL5528815,F,Induction of apoptosis in human MDA-MB-231 cells assessed as proportion of necrotic cells at 0.5 uM incubated for 36 hrs by AnnexinV-FITC/PI staining based flow cytometry (Rvb = 0%),CHEMBL400,MDA-MB-231,Activity,=,0.002,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922252,CHEMBL5528823,F,Inhibition of cell migration in human MDA-MB-231 cells at 0.05 uM incubated for 12 hrs by wound healing assay,CHEMBL400,MDA-MB-231,Inhibition,,,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922255,CHEMBL5528825,F,Inhibition of cell invasion in human MDA-MB-231 cells assessed as decrease in number of invading cells at 0.1 uM incubated for 16 hrs by matrigel coated transwell assay,CHEMBL400,MDA-MB-231,Inhibition,,,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922261,CHEMBL5528831,F,"Antitumor activity against human MDA-MB-231 cells xenografted in NOD-SCID mouse assessed as inhibition of tumor growth at 30 mg/kg, po administered 5 days per week for 27 days",CHEMBL400,MDA-MB-231,TGI,=,44.7,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922263,CHEMBL5528833,B,Inhibition of SRC kinase in human MDA-MB-231 cells assessed as reduction in EGFR phosphorylation at 0.1 uM measured after 4 hrs by western blot analysis,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Inhibition,,,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924664,CHEMBL5529229,F,Inhibition of TGF-beta1 induced mouse NIH3T3 cells activation assessed as reduction in collagen-I accumulation at 5 uM preincubated with TGF-beta1 followed by compound addition by immunofluorescence staining based assay,CHEMBL614822,NIH3T3,Inhibition,,,%,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924870,CHEMBL5529235,B,Inhibition of DDR1 (unknown origin),CHEMBL5319,Epithelial discoidin domain-containing receptor 1,IC50,=,26.0,nM,7.58,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924877,CHEMBL5529236,B,Inhibition of DDR2 (unknown origin),CHEMBL5122,Discoidin domain-containing receptor 2,IC50,=,54.0,nM,7.27,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924883,CHEMBL5529237,F,Antiproliferative activity against human A549 cells incubated for 72 hrs by MTT assay,CHEMBL392,A549,IC50,=,2550.0,nM,5.59,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924889,CHEMBL5529238,F,Antiproliferative activity against human SPCA1 cells incubated for 72 hrs by MTT assay,CHEMBL612545,Unchecked,IC50,=,2460.0,nM,5.61,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924895,CHEMBL5529239,F,Antiproliferative activity against human NCI-H1975 cells incubated for 72 hrs by MTT assay,CHEMBL614348,NCI-H1975,IC50,=,1260.0,nM,5.90,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924897,CHEMBL5529240,F,Effect on DDR1 level in human A549 cells at 50 to 200 nM by Western blotting analysis,CHEMBL612545,Unchecked,Activity,,,,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924899,CHEMBL5529241,F,Effect on ERK1/2 level in human A549 cells at 50 to 200 nM by Western blotting analysis,CHEMBL612545,Unchecked,Activity,,,,,CHEMBL5528029
