target_chembl_id,pref_name,target_type,organism,uniprot_accession
CHEMBL2096618,Bcr/Abl fusion protein,CHIMERIC PROTEIN,Homo sapiens,P00519
CHEMBL351,Salmonella typhimurium,ORGANISM,Salmonella enterica subsp. enterica serovar Typhimurium,
CHEMBL1951,Amine oxidase [flavin-containing] A,SINGLE PROTEIN,Homo sapiens,P21397
CHEMBL1075585,SNU-449,CELL-LINE,Homo sapiens,
CHEMBL394,HCT-116,CELL-LINE,Homo sapiens,
CHEMBL383,HL-60,CELL-LINE,Homo sapiens,
CHEMBL3817,Bcl2-associated agonist of cell death,SINGLE PROTEIN,Homo sapiens,Q92934
CHEMBL2622,Aldo-keto reductase family 1 member B1,SINGLE PROTEIN,Rattus norvegicus,P07943
CHEMBL4628,"Glutamate dehydrogenase 1, mitochondrial",SINGLE PROTEIN,Bos taurus,P00366
CHEMBL612794,U-937,CELL-LINE,Homo sapiens,
CHEMBL392,A549,CELL-LINE,Homo sapiens,
CHEMBL612558,ADMET,ADMET,,
CHEMBL3577,Aldehyde dehydrogenase 1A1,SINGLE PROTEIN,Homo sapiens,P00352
CHEMBL326,Alpha-1D adrenergic receptor,SINGLE PROTEIN,Rattus norvegicus,P23944
CHEMBL6066797,Osimertinib-resistant NCI-H1975 cell,CELL-LINE,Homo sapiens,
CHEMBL230,Prostaglandin G/H synthase 2,SINGLE PROTEIN,Homo sapiens,P35354
CHEMBL204,Prothrombin,SINGLE PROTEIN,Homo sapiens,P00734
CHEMBL5763,Cholinesterase,SINGLE PROTEIN,Equus caballus,P81908
CHEMBL5122,Discoidin domain-containing receptor 2,SINGLE PROTEIN,Homo sapiens,Q16832
CHEMBL614520,ANN-1,CELL-LINE,Mus musculus,
CHEMBL3687,Polyunsaturated fatty acid lipoxygenase ALOX12,SINGLE PROTEIN,Homo sapiens,P18054
CHEMBL614697,MDA-MB-435,CELL-LINE,Homo sapiens,
CHEMBL4512,Fatty acid synthase,SINGLE PROTEIN,Plasmodium falciparum,Q965D7
CHEMBL2487,Amyloid-beta precursor protein,SINGLE PROTEIN,Homo sapiens,P05067
CHEMBL1781865,Endoplasmic reticulum chaperone BiP,SINGLE PROTEIN,Homo sapiens,P11021
CHEMBL384,HT-29,CELL-LINE,Homo sapiens,
CHEMBL312,Polyunsaturated fatty acid 5-lipoxygenase,SINGLE PROTEIN,Rattus norvegicus,P12527
CHEMBL612557,RAW264.7,CELL-LINE,Mus musculus,
CHEMBL2977,Prostaglandin G/H synthase 2,SINGLE PROTEIN,Rattus norvegicus,P35355
CHEMBL4048,"Malate dehydrogenase, cytoplasmic",SINGLE PROTEIN,Sus scrofa,P11708
CHEMBL289,Cytochrome P450 2D6,SINGLE PROTEIN,Homo sapiens,P10635
CHEMBL345,Nucleic Acid,NUCLEIC-ACID,,
CHEMBL340,Cytochrome P450 3A4,SINGLE PROTEIN,Homo sapiens,P08684
CHEMBL2111353,Serine/threonine-protein kinase AKT,PROTEIN FAMILY,Homo sapiens,P31751
CHEMBL2366075,NCI-H1963,CELL-LINE,Homo sapiens,
CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta,PROTEIN-PROTEIN INTERACTION,Homo sapiens,Q01196
CHEMBL2331044,Myelin transcription factor 1,SINGLE PROTEIN,Homo sapiens,Q01538
CHEMBL3369,Neprilysin,SINGLE PROTEIN,Rattus norvegicus,P07861
CHEMBL2095188,Glycogen synthase kinase-3,PROTEIN FAMILY,Homo sapiens,P49840
CHEMBL1075435,DOK,CELL-LINE,Homo sapiens,
CHEMBL4119,Glutathione reductase,SINGLE PROTEIN,Saccharomyces cerevisiae S288c,P41921
CHEMBL2094139,DNA gyrase,PROTEIN COMPLEX,Escherichia coli,P0AES6
CHEMBL4725,Aryl hydrocarbon receptor,SINGLE PROTEIN,Oryctolagus cuniculus,O02747
CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,
CHEMBL2842,Serine/threonine-protein kinase mTOR,SINGLE PROTEIN,Homo sapiens,P42345
